StudyID,TraitNo,TraitDesc,TraitType,PC,Sex,Parent_Hybrid,Species_or_CrossType,Cross_Name,Cross_Dir,Dam.Parent1,Sire.Parent2,Trait_mean,Trait_var,Trait_var_Cat,Trait_n,CI.Letters,Ambig.Perf,Cross_ID,ParentID,Parents_Identical,Trait_mean2,Trait_mean_sub,Trait.mean.scaled,Trait.mean.scaled.zero,Trait.mean.div.by.max.sub.1,MaxSub1.Div.Min
Hatfield_1999,3,Body_depth,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,2.34,0.03,SD,24,NA,NA,A,B,FALSE,2.34,-0.040000000000000036,1,1,-0.01680672268907568,0
Hatfield_1999,4,Mouth_width,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,1.43,0.04,SD,24,NA,NA,A,B,FALSE,1.43,-0.09000000000000008,1,1,-0.05921052631578949,0
Hatfield_1999,5,Gill_Rakers,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,23.9,0.99,SD,24,NA,NA,A,B,FALSE,23.9,5.899999999999999,1,1,0,1
Hatfield_1999,6,Gill_raker_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,0.41,0.08,SD,24,NA,NA,A,B,FALSE,0.41,0.36,0.9999999999999999,0.9999999999999998,0,1
Hatfield_1999,7,Pelvic_spine_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,1.84,0.06,SD,24,NA,NA,A,B,FALSE,1.84,1.8900000000000001,1,1,0,1
Hatfield_1999,8,Plate_number,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,12.8,1.15,SD,24,NA,NA,A,B,FALSE,12.8,10.610000000000001,0.9999999999999999,0.9999999999999998,0,1
Hatfield_1999,1,Mass,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,1.23,0.21,SD,48,NA,NA,A,NA,FALSE,1.23,-0.15999999999999992,0.5,0,-0.1151079136690647,0.5
Hatfield_1999,2,Standard_length,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,3.9,0.03,SD,48,NA,NA,A,NA,FALSE,3.9,0.029999999999999805,0.49999999999999634,-7.327471962526033e-15,-0.007633587786259555,0.5
Hatfield_1999,3,Body_depth,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,2.36,0.04,SD,48,NA,NA,A,NA,FALSE,2.36,-0.020000000000000018,0.5,0,-0.008403361344537785,0.5000000000000033
Hatfield_1999,4,Mouth_width,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,1.47,0.05,SD,48,NA,NA,A,NA,FALSE,1.47,-0.050000000000000044,0.5555555555555556,0.11111111111111116,-0.03289473684210531,0.44444444444444386
Hatfield_1999,5,Gill_Rakers,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,21.3,1.38,SD,48,NA,NA,A,NA,FALSE,21.3,3.3000000000000007,0.5593220338983054,0.11864406779661074,-0.10878661087866104,0.5593220338983051
Hatfield_1999,6,Gill_raker_length,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,0.25,0.13,SD,48,NA,NA,A,NA,FALSE,0.25,0.2,0.5555555555555556,0.11111111111111116,-0.3902439024390244,0.5555555555555556
Hatfield_1999,7,Pelvic_spine_length,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,1.6,0.13,SD,48,NA,NA,A,NA,FALSE,1.6,1.6500000000000001,0.873015873015873,0.746031746031746,-0.13043478260869568,0.873015873015873
Hatfield_1999,8,Plate_number,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,8.89,1.83,SD,48,NA,NA,A,NA,FALSE,8.89,6.700000000000001,0.6314797360980208,0.26295947219604154,-0.30546874999999996,0.6314797360980208
Vamosi_2002,1,Dorsal_spines,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,benthic,NA,NA,NA,2.322,0.4681749,SD,382,NA,NA,A,A,FALSE,2.322,0,0,-1,-0.22470784641068453,0
Vamosi_2002,2,Plate_number,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,benthic,NA,NA,NA,0.64,0.05,SE,382,NA,NA,A,A,FALSE,0.64,0,0,-1,-0.8773946360153256,0
Vamosi_2002,1,Dorsal_spines,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,limnetic,NA,NA,NA,2.995,0.05123155,SD,382,NA,NA,A,B,FALSE,2.995,0.673,1,1,0,1
Vamosi_2002,2,Plate_number,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,limnetic,NA,NA,NA,5.22,0.05,SE,382,NA,NA,A,B,FALSE,5.22,4.58,1,1,0,1
Vamosi_2002,1,Dorsal_spines,Morphology,No,NA,Hybrid,F1,hybrid,NA,NA,NA,2.887,0.3178048,SD,239,NA,NA,A,NA,FALSE,2.887,0.565,0.839524517087667,0.6790490341753339,-0.03606010016694494,0.8395245170876671
Vamosi_2002,2,Plate_number,Morphology,No,NA,Hybrid,F1,hybrid,NA,NA,NA,3.85,0.06,SE,239,NA,NA,A,NA,FALSE,3.85,3.21,0.7008733624454149,0.40174672489082974,-0.2624521072796935,0.7008733624454149
Lemmon_2010,1,Pulse_rate,Behaviour,No,M,Parent,Pseudacris_feriarum,P_feriarum,NA,NA,NA,30.68,2.46,SD,21,NA,NA,A,A,FALSE,30.68,0,-0,-1,0,1
Lemmon_2010,2,Pulse_number,Behaviour,No,M,Parent,Pseudacris_feriarum,P_feriarum,NA,NA,NA,24.33,3.6,SD,21,NA,NA,A,A,FALSE,24.33,0,-0,-1,0,1
Lemmon_2010,1,Pulse_rate,Behaviour,No,M,Parent,Pseudacris_nigrita,P_nigrita,NA,NA,NA,8.54,1.1,SD,2,NA,NA,A,B,FALSE,8.54,-22.14,1,1,-0.7216427640156454,0
Lemmon_2010,2,Pulse_number,Behaviour,No,M,Parent,Pseudacris_nigrita,P_nigrita,NA,NA,NA,9.65,1.47,SD,2,NA,NA,A,B,FALSE,9.65,-14.679999999999998,1,1,-0.6033703247020139,0
Lemmon_2010,1,Pulse_rate,Behaviour,No,M,Hybrid,F1,F1_hybrid,NA,NA,NA,16.94,2.87,SD,20,NA,NA,A,NA,FALSE,16.94,-13.739999999999998,0.6205962059620596,0.2411924119241191,-0.4478487614080834,0.37940379403794056
Lemmon_2010,2,Pulse_number,Behaviour,No,M,Hybrid,F1,F1_hybrid,NA,NA,NA,14.85,0.98,SD,20,NA,NA,A,NA,FALSE,14.85,-9.479999999999999,0.6457765667574932,0.29155313351498635,-0.38964241676942046,0.3542234332425067
Grosch_2003,1,Bill_width,Morphology,No,NA,Parent,Phoenicurus_phoenicurus,Common_redstart,NA,NA,NA,5.14,0.3,SD,7,NA,NA,A,B,FALSE,5.14,0.33000000000000007,1,1,0,1
Grosch_2003,2,Bill_height,Morphology,No,NA,Parent,Phoenicurus_phoenicurus,Common_redstart,NA,NA,NA,3.96,0.14,SD,7,NA,NA,A,B,FALSE,3.96,0.5099999999999998,1,1,0,1
Grosch_2003,3,Bill_length,Morphology,No,NA,Parent,Phoenicurus_phoenicurus,Common_redstart,NA,NA,NA,11.56,1.3,SD,7,NA,NA,A,B,FALSE,11.56,0.33999999999999986,1,1,0,1
Grosch_2003,1,Bill_width,Morphology,No,NA,Parent,Phoenicurus_ochruros,Black_redstart,NA,NA,NA,4.81,0.22,SD,10,NA,NA,A,A,FALSE,4.81,0,0,-1,-0.06420233463035019,0
Grosch_2003,2,Bill_height,Morphology,No,NA,Parent,Phoenicurus_ochruros,Black_redstart,NA,NA,NA,3.45,0.18,SD,10,NA,NA,A,A,FALSE,3.45,0,0,-1,-0.12878787878787878,0
Grosch_2003,3,Bill_length,Morphology,No,NA,Parent,Phoenicurus_ochruros,Black_redstart,NA,NA,NA,11.22,1.09,SD,10,NA,NA,A,A,FALSE,11.22,0,0,-1,-0.02941176470588236,0.5584415584415588
Grosch_2003,1,Bill_width,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,4.93,0.25,SD,10,NA,NA,A,NA,FALSE,4.93,0.1200000000000001,0.3636363636363639,-0.27272727272727215,-0.040856031128404635,0.3636363636363641
Grosch_2003,2,Bill_height,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,3.73,0.14,SD,10,NA,NA,A,NA,FALSE,3.73,0.2799999999999998,0.5490196078431371,0.09803921568627416,-0.058080808080808066,0.5490196078431373
Grosch_2003,3,Bill_length,Morphology,No,NA,Hybrid,F1,F1_hybrid,NA,NA,NA,10.79,0.53,SD,10,NA,NA,A,NA,FALSE,10.79,-0.4300000000000015,-1.264705882352946,-3.529411764705892,-0.06660899653979246,0
Galindo_2014,1,Centroid_size,Morphology,No,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,8.7,1.82,SD,6,A,NA,A,A,FALSE,8.7,0,-0,-1,0,1
Galindo_2014,2,Uniform_component_1,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,-0.007,0.029,SD,6,A,NA,A,A,FALSE,-0.007,0,0,-1,-1.1627906976744187,0
Galindo_2014,3,Uniform_component_2,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,-0.014,0.019,SD,6,A,NA,A,A,FALSE,-0.014,0,0,-1,-15,0.0625
Galindo_2014,4,Relative_warp_1,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,-0.061,0.053,SD,6,A,NA,A,A,FALSE,-0.061,0,0,-1,-1.8472222222222223,0
Galindo_2014,5,Relative_warp_2,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,0.038,0.182,SD,6,A,NA,A,A,FALSE,0.038,0,-0,-1,0,1
Galindo_2014,6,Relative_warp_3,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,-0.031,0.019,SD,6,A,NA,A,A,FALSE,-0.031,0,0,-1,-8.75,0
Galindo_2014,7,Relative_warp_4,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,-0.05,0.027,SD,6,A,NA,A,A,FALSE,-0.05,0,0,-1,-4.333333333333334,0
Galindo_2014,8,Relative_warp_5,Morphology,Yes,NA,Parent,Littorina_saxatilis_ridge-banded,RB_lab,NA,NA,NA,0.001,0.014,SD,6,A,NA,A,A,FALSE,0.001,0,-0,-1,0,1
Galindo_2014,1,Centroid_size,Morphology,No,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,5.5,NA,NA,1,B,NA,A,B,FALSE,5.5,-3.1999999999999993,1,1,-0.367816091954023,0.11111111111111094
Galindo_2014,2,Uniform_component_1,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,0.043,NA,NA,1,B,NA,A,B,FALSE,0.043,0.049999999999999996,0.9999999999999999,0.9999999999999998,0,1
Galindo_2014,3,Uniform_component_2,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,0.001,NA,NA,1,A,NA,A,B,FALSE,0.001,0.015,1,1,0,1
Galindo_2014,4,Relative_warp_1,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,0.072,NA,NA,1,B,NA,A,B,FALSE,0.072,0.133,1,1,0,1
Galindo_2014,5,Relative_warp_2,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,-0.031,NA,NA,1,A,NA,A,B,FALSE,-0.031,-0.069,1,1,-1.8157894736842106,0
Galindo_2014,6,Relative_warp_3,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,-0.018,NA,NA,1,A,NA,A,B,FALSE,-0.018,0.013000000000000001,1,1,-5.5,0.37142857142857144
Galindo_2014,7,Relative_warp_4,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,0.015,NA,NA,1,B,NA,A,B,FALSE,0.015,0.065,1,1,0,1
Galindo_2014,8,Relative_warp_5,Morphology,Yes,NA,Parent,Littorina_saxatilis_smooth-unbanded,SU_lab,NA,NA,NA,-0.007,NA,NA,1,A,NA,A,B,FALSE,-0.007,-0.008,1,1,-8,0
Galindo_2014,1,Centroid_size,Morphology,No,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,6.4,2.9,SD,64,NA,NA,A,NA,FALSE,6.4,-2.299999999999999,0.7187499999999998,0.43749999999999956,-0.2643678160919539,0.36111111111111127
Galindo_2014,2,Uniform_component_1,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,0.011,0.033,SD,64,NA,NA,A,NA,FALSE,0.011,0.018,0.36,-0.28,-0.7441860465116279,0.3600000000000001
Galindo_2014,3,Uniform_component_2,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,-0.014,0.019,SD,64,NA,NA,A,NA,FALSE,-0.014,0,0,-1,-15,0.0625
Galindo_2014,4,Relative_warp_1,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,-0.006,0.062,SD,64,NA,NA,A,NA,FALSE,-0.006,0.055,0.41353383458646614,-0.17293233082706772,-1.0833333333333333,0.4135338345864662
Galindo_2014,5,Relative_warp_2,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,0.035,0.03,SD,64,NA,NA,A,NA,FALSE,0.035,-0.0029999999999999957,0.043478260869565154,-0.9130434782608697,-0.07894736842105254,0.9565217391304348
Galindo_2014,6,Relative_warp_3,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,0.002,0.02,SD,64,NA,NA,A,NA,FALSE,0.002,0.033,2.5384615384615383,4.076923076923077,-0.5,0.9428571428571428
Galindo_2014,7,Relative_warp_4,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,-0.003,0.02,SD,64,NA,NA,A,NA,FALSE,-0.003,0.047,0.7230769230769231,0.4461538461538461,-1.2,0.7230769230769232
Galindo_2014,8,Relative_warp_5,Morphology,Yes,NA,Hybrid,F1,RB_x_SU,A,RB_lab,SU_lab,-0.004,0.018,SD,64,NA,NA,A,NA,FALSE,-0.004,-0.005,0.625,0.25,-5,0.375
Galindo_2014,1,Centroid_size,Morphology,No,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,5.1,0.89,SD,14,NA,NA,A,NA,FALSE,5.1,-3.5999999999999996,1.125,1.25,-0.4137931034482758,0
Galindo_2014,2,Uniform_component_1,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,0.002,0.026,SD,14,NA,NA,A,NA,FALSE,0.002,0.009000000000000001,0.18000000000000002,-0.6399999999999999,-0.9534883720930233,0.18000000000000005
Galindo_2014,3,Uniform_component_2,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,-0.015,0.018,SD,14,NA,NA,A,NA,FALSE,-0.015,-9.999999999999992e-4,-0.06666666666666661,-1.1333333333333333,-16,0
Galindo_2014,4,Relative_warp_1,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,-0.019,0.055,SD,14,NA,NA,A,NA,FALSE,-0.019,0.041999999999999996,0.3157894736842105,-0.368421052631579,-1.2638888888888888,0.3157894736842106
Galindo_2014,5,Relative_warp_2,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,0.026,0.021,SD,14,NA,NA,A,NA,FALSE,0.026,-0.012,0.17391304347826086,-0.6521739130434783,-0.3157894736842105,0.8260869565217391
Galindo_2014,6,Relative_warp_3,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,0.004,0.013,SD,14,NA,NA,A,NA,FALSE,0.004,0.035,2.6923076923076925,4.384615384615385,0,1
Galindo_2014,7,Relative_warp_4,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,-0.005,0.024,SD,14,NA,NA,A,NA,FALSE,-0.005,0.045000000000000005,0.6923076923076923,0.3846153846153846,-1.3333333333333335,0.6923076923076923
Galindo_2014,8,Relative_warp_5,Morphology,Yes,NA,Hybrid,F1,SU_x_RB,B,SU_lab,RB_lab,-0.003,0.013,SD,14,NA,NA,A,NA,FALSE,-0.003,-0.004,0.5,0,-4,0.5
Lowry_2010,1,Aboveground_roots,Morphology,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,3.52255814,1.57733799,SD,43,NA,no,A,A,FALSE,3.52255814,0,-0,-1,0,1
Lowry_2010,2,Corolla_tube_length_mm,Morphology,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,24.9290361,1.05733244,SD,83,NA,no,A,A,FALSE,24.9290361,0,-0,-1,0,1
Lowry_2010,3,Corolla_width_mm,Morphology,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,33.6583133,1.14858857,SD,83,NA,no,A,A,FALSE,33.6583133,0,-0,-1,0,1
Lowry_2010,4,Flowering_time_days,Life_history,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,37.9893976,2.58026051,SD,83,NA,no,A,A,FALSE,37.9893976,0,-0,-1,0,1
Lowry_2010,5,Internode_length_mm,Morphology,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,23.1239759,2.5217128,SD,83,NA,no,A,A,FALSE,23.1239759,0,0,-1,-0.6835865132816985,0
Lowry_2010,6,Stem_thickness_mm,Morphology,No,NA,Parent,Mimulus_guttatus_coastal_perennial,Coastal_Perennial,NA,NA,NA,5.68891566,1.57597706,SD,83,NA,no,A,A,FALSE,5.68891566,0,-0,-1,0,1
Lowry_2010,1,Aboveground_roots,Morphology,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,0,0,SD,40,NA,no,A,B,FALSE,0,-3.52255814,1,1,-1,0
Lowry_2010,2,Corolla_tube_length_mm,Morphology,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,16.4775,0.72248111,SD,80,NA,no,A,B,FALSE,16.4775,-8.451536100000002,1,1,-0.339023781990512,0
Lowry_2010,3,Corolla_width_mm,Morphology,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,22.79275,1.44567595,SD,80,NA,no,A,B,FALSE,22.79275,-10.865563300000002,1,1,-0.3228196018960938,0
Lowry_2010,4,Flowering_time_days,Life_history,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,27.1603704,1.33657442,SD,81,NA,no,A,B,FALSE,27.1603704,-10.829027199999995,0.9999999999999999,0.9999999999999998,-0.28505393304788795,0
Lowry_2010,5,Internode_length_mm,Morphology,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,37.277037,1.01410315,SD,81,NA,no,A,B,FALSE,37.277037,14.153061099999999,1,1,-0.48992520565215014,0.2833018262748298
Lowry_2010,6,Stem_thickness_mm,Morphology,No,NA,Parent,Mimulus_guttatus_inland_annual,Inland_Annual,NA,NA,NA,2.14012346,1.45771453,SD,81,NA,no,A,B,FALSE,2.14012346,-3.5487922000000003,0.9999999999999999,0.9999999999999998,-0.6238081933526152,0
Lowry_2010,1,Aboveground_roots,Morphology,No,NA,Hybrid,F1,F1,NA,NA,NA,0.33229167,0.80899293,SD,48,NA,no,A,NA,FALSE,0.33229167,-3.19026647,0.9056675129853216,0.8113350259706431,-0.9056675129853216,0.09433248701467845
Lowry_2010,2,Corolla_tube_length_mm,Morphology,No,NA,Hybrid,F1,F1,NA,NA,NA,20.6776744,0.92199148,SD,86,NA,no,A,NA,FALSE,20.6776744,-4.2513617,0.5030282838169501,0.006056567633900167,-0.17053855122781902,0.49697171618305
Lowry_2010,3,Corolla_width_mm,Morphology,No,NA,Hybrid,F1,F1,NA,NA,NA,30.3303488,0.95483366,SD,86,NA,no,A,NA,FALSE,30.3303488,-3.3279645000000038,0.306285501093165,-0.38742899781367,-0.09887496352944114,0.693714498906835
Lowry_2010,4,Flowering_time_days,Life_history,No,NA,Hybrid,F1,F1,NA,NA,NA,29.0472093,0.87892395,SD,86,NA,no,A,NA,FALSE,29.0472093,-8.942188299999998,0.8257609972574453,0.6515219945148907,-0.23538642002578103,0.17423900274255455
Lowry_2010,5,Internode_length_mm,Morphology,No,NA,Hybrid,F1,F1,NA,NA,NA,73.0815116,2.65632976,SD,86,NA,no,A,NA,FALSE,73.0815116,49.957535699999994,3.5298042838238013,6.059608567647603,0,1
Lowry_2010,6,Stem_thickness_mm,Morphology,No,NA,Hybrid,F1,F1,NA,NA,NA,3.67895349,2.84938089,SD,86,NA,no,A,NA,FALSE,3.67895349,-2.00996217,0.5663792233312505,0.13275844666250092,-0.35331200005872476,0.43362077666874943
Lowry_2010,1,Aboveground_roots,Morphology,No,NA,Hybrid,F2,F2,NA,NA,NA,0.48870748,1.16826736,SD,294,NA,no,A,NA,FALSE,0.48870748,-3.03385066,0.8612634737094786,0.7225269474189573,-0.8612634737094786,0.13873652629052136
Lowry_2010,2,Corolla_tube_length_mm,Morphology,No,NA,Hybrid,F2,F2,NA,NA,NA,19.9469168,1.28826075,SD,613,NA,no,A,NA,FALSE,19.9469168,-4.982119300000001,0.5894927550507653,0.17898551010153052,-0.19985206327331684,0.41050724494923496
Lowry_2010,3,Corolla_width_mm,Morphology,No,NA,Hybrid,F2,F2,NA,NA,NA,27.3803263,1.38735114,SD,613,NA,no,A,NA,FALSE,27.3803263,-6.277987000000003,0.5777875317333987,0.1555750634667974,-0.1865211409747024,0.4222124682666014
Lowry_2010,4,Flowering_time_days,Life_history,No,NA,Hybrid,F2,F2,NA,NA,NA,31.621585,1.27462353,SD,612,NA,no,A,NA,FALSE,31.621585,-6.367812599999997,0.5880318224706278,0.1760636449412556,-0.16762078375256995,0.411968177529372
Lowry_2010,5,Internode_length_mm,Morphology,No,NA,Hybrid,F2,F2,NA,NA,NA,41.6417129,1.40113149,SD,613,NA,no,A,NA,FALSE,41.6417129,18.517737,1.3083909458993295,1.616781891798659,-0.43020181180817285,0.37066954445473177
Lowry_2010,6,Stem_thickness_mm,Morphology,No,NA,Hybrid,F2,F2,NA,NA,NA,3.53068515,2.50366736,SD,613,NA,no,A,NA,FALSE,3.53068515,-2.15823051,0.608159167504933,0.21631833500986608,-0.3793746715520827,0.39184083249506707
Loveless_2010,1,Length_of_dorsal_fin,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,-0.176,0.0079,Var,50,NA,NA,A,A,FALSE,-0.176,0,0,-1,-1.9326974032856383,0.4997256515775035
Loveless_2010,2,Length_of_first_dorsal_fin_ray,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,-0.3377,0.0095,Var,50,NA,NA,A,A,FALSE,-0.3377,0,0,-1,3.123321123321123,-Inf
Loveless_2010,3,Length_of_last_dorsal_fin_ray,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,-0.2184,0.0103,Var,50,NA,NA,A,A,FALSE,-0.2184,0,0,-1,-1.2523396880415945,0.01669237049804939
Loveless_2010,4,Dorsal_fin_ray_count,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,8.9455,0.0951,Var,50,NA,NA,A,A,FALSE,8.9455,0,0,-1,-0.44916871921182266,0
Loveless_2010,5,Dorsal_fin_area,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,-0.0839,0.0084,Var,50,NA,NA,A,A,FALSE,-0.0839,0,0,-1,-1.9744483159117308,0.723846653671215
Loveless_2010,6,Pre-dorsal_distance,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,0.3215,0.0054,Var,50,NA,NA,A,A,FALSE,0.3215,0,-0,-1,0,1
Loveless_2010,7,Depth_at_mid-body,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,0.0995,0.0044,Var,50,NA,NA,A,A,FALSE,0.0995,0,-0,-1,-0.18642681929681115,0.9327631966971395
Loveless_2010,8,Pre-anal_distance,Morphology,No,M,Parent,Poecilia_mexicana,PM,NA,NA,NA,0.3169,0.0047,Var,50,NA,NA,A,A,FALSE,0.3169,0,-0,-1,-0.01614405464141566,0.9921945361753227
